Click #	Click time (ms)	Interclick interval (ms)
1	6.3789	0
2	7.011	0.63203
3	7.6155	0.60454
4	8.2147	0.59915
5	8.803	0.58835
6	9.3981	0.5951
7	9.943	0.54492
8	10.5528	0.60982
9	11.128	0.57519
10	11.7073	0.57926
11	12.2897	0.58239
12	12.8842	0.59457
13	13.4617	0.57748
14	14.0655	0.60381
15	14.6329	0.5674
16	15.2327	0.59973
17	15.8499	0.61729
18	16.4389	0.58893
19	16.9923	0.55339
20	17.5826	0.59039
21	18.2317	0.64903
22	18.8704	0.63873
23	19.4776	0.6072
24	20.0709	0.5933
25	20.6899	0.61897
26	21.3322	0.64229
27	21.9471	0.61492
28	22.5984	0.65134
29	23.1982	0.59978
30	23.8611	0.66292
31	24.5023	0.64118
32	25.0965	0.59419
33	25.6962	0.59967
34	26.3384	0.64224
35	26.9821	0.64369
36	27.5921	0.60997
37	28.2238	0.63168
38	28.8632	0.6394
39	29.455	0.5918
