Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	3.3984	0
1	2	3.9491	0.55071
1	3	4.5155	0.56641
1	4	5.1596	0.64409
1	5	5.7899	0.63035
1	6	6.347	0.55704
1	7	6.8992	0.55223
1	8	7.4579	0.55868
1	9	8.0417	0.58379
1	10	8.6507	0.60907
1	11	9.202	0.55121
1	12	9.7743	0.57235
1	13	10.3387	0.56441
1	14	10.901	0.56229
1	15	11.4769	0.57592
1	16	12.1046	0.62762
1	17	12.7323	0.62772
1	18	13.3383	0.606
1	19	13.8971	0.55886
1	20	14.5082	0.61104
1	21	15.2092	0.701
1	22	15.7745	0.5653
1	23	16.329	0.55456
1	24	16.8984	0.56932
1	25	17.4934	0.59504
1	26	18.0433	0.54994
1	27	18.6516	0.60827
1	28	19.233	0.58143
1	29	19.8037	0.57063
1	30	20.4051	0.60142
1	31	20.9492	0.54414
1	32	21.4817	0.53248
1	33	22.0641	0.58241
1	34	22.7064	0.6423
1	35	23.3332	0.62675
1	36	23.9633	0.63017
1	37	24.5394	0.57612
1	38	25.1833	0.64381
1	39	25.7359	0.55264
1	40	26.2974	0.56155
2	1	3.5648	0
2	2	4.0312	0.46642
2	3	4.7118	0.68055
2	4	5.2666	0.55485
2	5	5.778	0.51133
2	6	6.3238	0.54586
2	7	6.8838	0.55995
2	8	7.42	0.53622
2	9	7.99	0.56998
2	10	8.5624	0.57241
2	11	9.2218	0.65937
2	12	9.7799	0.55807
2	13	10.3374	0.55752
2	14	10.9356	0.59826
2	15	11.533	0.59735
2	16	12.1367	0.60368
2	17	12.7602	0.62356
2	18	13.4348	0.67455
2	19	13.9723	0.53753
2	20	14.5626	0.59032
2	21	15.2405	0.67793
2	22	15.8051	0.56456
2	23	16.417	0.61186
2	24	17.0332	0.61622
2	25	17.5624	0.52925
2	26	18.168	0.60552
2	27	18.7658	0.59788
2	28	19.3882	0.62236
2	29	19.9986	0.61045
2	30	20.5833	0.58468
2	31	21.1787	0.59539
2	32	21.7401	0.56139
2	33	22.2926	0.55246
2	34	22.8774	0.58479
2	35	23.4205	0.5432
2	36	23.9839	0.56333
2	37	24.5973	0.6134
2	38	25.1565	0.55926
2	39	25.7336	0.57703
2	40	26.3847	0.65114
3	1	3.5853	0
3	2	4.0478	0.46254
3	3	4.5846	0.53675
3	4	5.178	0.59339
3	5	5.7404	0.56238
3	6	6.3151	0.57471
3	7	6.9284	0.61336
3	8	7.5363	0.60789
3	9	8.1131	0.5768
3	10	8.7012	0.58811
3	11	9.2856	0.58438
3	12	9.8905	0.60487
3	13	10.4745	0.584
3	14	11.059	0.5845
3	15	11.6591	0.60008
3	16	12.2994	0.64038
3	17	12.8468	0.54736
3	18	13.4173	0.57052
3	19	14.0019	0.58461
3	20	14.557	0.55509
3	21	15.2417	0.68468
3	22	15.8927	0.65097
3	23	16.4476	0.55492
3	24	17.0316	0.58399
3	25	17.6189	0.5873
3	26	18.2399	0.62106
3	27	18.8056	0.5657
3	28	19.4165	0.61088
3	29	19.9893	0.57279
3	30	20.5752	0.58584
3	31	21.1204	0.54529
3	32	21.7295	0.60901
3	33	22.2735	0.544
3	34	22.8939	0.62045
3	35	23.4382	0.54435
3	36	24.0928	0.65456
3	37	24.753	0.66016
3	38	25.3196	0.56663
3	39	25.8755	0.55588
4	1	3.5563	0
4	2	4.0158	0.45951
4	3	4.5652	0.54944
4	4	5.1811	0.61588
4	5	5.7169	0.53576
4	6	6.3329	0.616
4	7	6.9354	0.60248
4	8	7.561	0.62568
4	9	8.2007	0.63964
4	10	8.7937	0.59306
4	11	9.3412	0.5475
4	12	9.8549	0.51372
4	13	10.454	0.59905
4	14	11.0843	0.63027
4	15	11.6609	0.57668
4	16	12.2199	0.55895
4	17	12.8046	0.58466
4	18	13.392	0.58743
4	19	13.9769	0.58488
4	20	14.5799	0.60302
4	21	15.2425	0.66257
4	22	15.8122	0.56971
4	23	16.3864	0.57428
4	24	17.0829	0.69648
4	25	17.6322	0.54932
4	26	18.2696	0.63737
4	27	18.8568	0.58715
4	28	19.4507	0.59399
4	29	19.9143	0.46358
4	30	20.4768	0.56248
4	31	21.1182	0.64141
4	32	21.6982	0.58
4	33	22.2031	0.50484
4	34	22.7745	0.57148
4	35	23.3489	0.57435
4	36	23.9257	0.5768
4	37	24.5662	0.64054
4	38	25.1311	0.56488
4	39	25.8152	0.68415
4	40	26.4108	0.59559
5	1	3.3095	0
5	2	3.961	0.65144
5	3	4.5688	0.60785
5	4	5.2256	0.65681
5	5	5.7841	0.55846
5	6	6.4156	0.63152
5	7	6.9995	0.58392
5	8	7.6023	0.6028
5	9	8.1412	0.53888
5	10	8.732	0.59076
5	11	9.2796	0.54761
5	12	9.9229	0.64336
5	13	10.4789	0.55594
5	14	11.0402	0.56133
5	15	11.6606	0.62034
5	16	12.2102	0.54966
5	17	12.7972	0.58702
5	18	13.4151	0.61787
5	19	13.9916	0.57648
5	20	14.6295	0.63787
5	21	15.2796	0.6501
5	22	15.9366	0.65708
5	23	16.505	0.56835
5	24	17.1038	0.5988
5	25	17.6713	0.56753
5	26	18.3183	0.64693
5	27	18.8813	0.56307
5	28	19.5213	0.63998
5	29	20.1771	0.6558
5	30	20.8182	0.64108
5	31	21.3941	0.57595
5	32	22.0508	0.65667
5	33	22.6873	0.63653
5	34	23.3319	0.64454
5	35	23.9488	0.61692
5	36	24.5261	0.57726
5	37	25.1207	0.59465
5	38	25.8738	0.75309
5	39	26.4575	0.58372
