Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	3.4944	0
1	2	4.0236	0.52921
1	3	4.6337	0.61008
1	4	5.1788	0.54509
1	5	5.7823	0.60355
1	6	6.3646	0.58227
1	7	6.9889	0.62436
1	8	7.5436	0.55463
1	9	8.1535	0.60997
1	10	8.7116	0.55811
1	11	9.2966	0.58495
1	12	9.9034	0.60679
1	13	10.4682	0.56482
1	14	11.0655	0.59727
1	15	11.7339	0.66844
1	16	12.2872	0.55331
1	17	12.8894	0.60222
1	18	13.4069	0.51745
1	19	13.9271	0.52025
1	20	14.5273	0.60019
1	21	15.1475	0.62021
1	22	15.7103	0.56274
1	23	16.2601	0.54984
1	24	16.8581	0.59796
1	25	17.4275	0.56938
1	26	17.9888	0.56135
1	27	18.5191	0.53029
1	28	19.1096	0.59055
1	29	19.6525	0.54287
1	30	20.2615	0.60902
1	31	20.8686	0.60702
1	32	21.5477	0.67912
1	33	22.1411	0.59338
1	34	22.7413	0.60025
1	35	23.2569	0.51558
1	36	23.8521	0.59519
1	37	24.4662	0.61417
1	38	25.0705	0.60422
1	39	25.6642	0.59377
1	40	26.2272	0.563
2	1	3.3488	0
2	2	3.9268	0.57797
2	3	4.4539	0.5271
2	4	5.1029	0.64896
2	5	5.7583	0.6554
2	6	6.2922	0.53389
2	7	6.8466	0.55446
2	8	7.4145	0.56783
2	9	8.0048	0.59038
2	10	8.5835	0.57865
2	11	9.1148	0.53134
2	12	9.8532	0.73837
2	13	10.3818	0.52858
2	14	11.0595	0.67773
2	15	11.5853	0.52579
2	16	12.2905	0.70523
2	17	12.8118	0.52124
2	18	13.4122	0.60042
2	19	13.9831	0.57087
2	20	14.5818	0.59872
2	21	15.2157	0.63389
2	22	15.7825	0.56681
2	23	16.4318	0.64932
2	24	17.0033	0.57145
2	25	17.5776	0.57432
2	26	18.2027	0.6251
2	27	18.7796	0.57691
2	28	19.3675	0.58794
2	29	19.9542	0.58666
2	30	20.5361	0.58189
2	31	21.1476	0.61154
2	32	21.7891	0.6415
2	33	22.3954	0.60628
2	34	22.9887	0.59335
2	35	23.5673	0.57853
2	36	24.1698	0.60257
2	37	24.7974	0.62757
2	38	25.408	0.61056
2	39	26.0383	0.63029
3	1	3.3644	0
3	2	3.9631	0.59869
3	3	4.5293	0.56614
3	4	5.0857	0.55646
3	5	5.6408	0.5551
3	6	6.2021	0.56124
3	7	6.8362	0.63411
3	8	7.3882	0.55201
3	9	7.9588	0.57061
3	10	8.5646	0.60583
3	11	9.1977	0.63311
3	12	9.7878	0.59009
3	13	10.4002	0.61238
3	14	10.9926	0.5924
3	15	11.6131	0.6205
3	16	12.2079	0.5948
3	17	12.7177	0.50982
3	18	13.2737	0.55601
3	19	13.93	0.65631
3	20	14.554	0.62393
3	21	15.2103	0.65637
3	22	15.7343	0.52394
3	23	16.2684	0.53414
3	24	16.8339	0.56548
3	25	17.4322	0.59834
3	26	18.0543	0.62208
3	27	18.6713	0.61697
3	28	19.2662	0.5949
3	29	19.8775	0.61134
3	30	20.4866	0.60914
3	31	21.1331	0.6465
3	32	21.7186	0.5855
3	33	22.2486	0.52999
3	34	22.8857	0.63705
3	35	23.4334	0.54773
3	36	24.0726	0.63919
3	37	24.7218	0.64924
3	38	25.325	0.60313
3	39	25.9063	0.58136
4	1	3.4002	0
4	2	3.998	0.5978
4	3	4.491	0.49304
4	4	5.1064	0.61538
4	5	5.659	0.55267
4	6	6.3968	0.73772
4	7	6.9443	0.54756
4	8	7.5672	0.62288
4	9	8.1499	0.58272
4	10	8.7055	0.55559
4	11	9.2584	0.55287
4	12	9.8991	0.64077
4	13	10.4719	0.57277
4	14	11.0307	0.55873
4	15	11.6539	0.62325
4	16	12.235	0.58113
4	17	12.8106	0.57561
4	18	13.3888	0.57819
4	19	14.0081	0.61926
4	20	14.5708	0.56273
4	21	15.207	0.63622
4	22	15.8187	0.61169
4	23	16.4222	0.60347
4	24	16.9724	0.55018
4	25	17.5852	0.61285
4	26	18.1568	0.57153
4	27	18.7746	0.61782
4	28	19.4029	0.62828
4	29	20.0359	0.63302
4	30	20.6688	0.63293
4	31	21.2573	0.58853
4	32	21.826	0.56867
4	33	22.3682	0.5422
4	34	22.9518	0.58354
4	35	23.6319	0.68013
4	36	24.2787	0.64676
4	37	24.8536	0.57498
4	38	25.5197	0.66606
4	39	26.1102	0.59047
5	1	3.3455	0
5	2	3.9753	0.62977
5	3	4.5848	0.60953
5	4	5.1014	0.51661
5	5	5.7471	0.64571
5	6	6.3193	0.57221
5	7	6.9196	0.60024
5	8	7.4873	0.56778
5	9	8.1326	0.64529
5	10	8.6604	0.52781
5	11	9.2063	0.54586
5	12	9.8661	0.65975
5	13	10.4488	0.58277
5	14	11.0225	0.57368
5	15	11.6275	0.60501
5	16	12.1913	0.56379
5	17	12.7849	0.59363
5	18	13.3952	0.61023
5	19	13.9869	0.59173
5	20	14.5292	0.54231
5	21	15.2428	0.71356
5	22	15.8223	0.57954
5	23	16.3881	0.56575
5	24	16.9467	0.55866
5	25	17.5911	0.64435
5	26	18.1555	0.56443
5	27	18.6223	0.46678
5	28	19.2553	0.63306
5	29	19.7686	0.51325
5	30	20.383	0.61437
5	31	21.0055	0.62251
5	32	21.5813	0.57581
5	33	22.195	0.61367
5	34	22.8527	0.65778
5	35	23.4031	0.55041
5	36	24.0042	0.60103
5	37	24.5714	0.56727
5	38	25.1938	0.6224
5	39	25.7934	0.5996
