Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	6.3825	0
1	2	6.9605	0.57801
1	3	7.5357	0.57519
1	4	8.1402	0.60445
1	5	8.7425	0.60237
1	6	9.2929	0.55041
1	7	9.8063	0.51333
1	8	10.4516	0.6453
1	9	11.0641	0.61248
1	10	11.6542	0.59015
1	11	12.2451	0.59093
1	12	12.7839	0.53872
1	13	13.3683	0.58447
1	14	13.9801	0.61178
1	15	14.5251	0.54501
1	16	15.0845	0.55943
1	17	15.6755	0.59093
1	18	16.2598	0.58436
1	19	16.8237	0.56384
1	20	17.4144	0.59074
1	21	17.9697	0.5553
1	22	18.5481	0.57835
1	23	19.1464	0.5983
1	24	19.7494	0.60303
1	25	20.2243	0.4749
1	26	20.8522	0.6279
1	27	21.451	0.59882
1	28	21.982	0.53094
1	29	22.5513	0.56932
1	30	23.1029	0.5516
1	31	23.6861	0.58319
1	32	24.1835	0.49738
1	33	24.7247	0.54126
1	34	25.3304	0.60566
1	35	25.8703	0.53991
1	36	26.3804	0.51014
1	37	26.9367	0.55627
1	38	27.4146	0.47791
1	39	28.0087	0.59411
1	40	28.5911	0.58233
1	41	29.1552	0.5641
2	1	6.2892	0
2	2	6.9223	0.63311
2	3	7.4779	0.55564
2	4	8.0089	0.53099
2	5	8.6344	0.6255
2	6	9.2056	0.5712
2	7	9.7785	0.57285
2	8	10.3339	0.55539
2	9	10.9229	0.58908
2	10	11.5207	0.5978
2	11	12.1326	0.61182
2	12	12.7325	0.59992
2	13	13.2922	0.55973
2	14	13.8549	0.56268
2	15	14.4325	0.57759
2	16	15.0069	0.57441
2	17	15.5362	0.52936
2	18	16.1141	0.57786
2	19	16.6807	0.56657
2	20	17.2414	0.56078
2	21	17.9694	0.72792
2	22	18.547	0.57765
2	23	19.1334	0.58635
2	24	19.6842	0.55087
2	25	20.2301	0.54588
2	26	20.7904	0.56026
2	27	21.3011	0.51072
2	28	21.8545	0.55337
2	29	22.4098	0.55538
2	30	22.9184	0.50857
2	31	23.4778	0.55941
2	32	23.9996	0.52182
2	33	24.5202	0.52053
2	34	25.0576	0.53744
2	35	25.6018	0.54414
2	36	26.1221	0.52036
2	37	26.6038	0.48165
2	38	27.1723	0.56853
2	39	27.7032	0.53087
2	40	28.2429	0.53976
2	41	28.8022	0.55925
2	42	29.3031	0.50093
3	1	5.9546	0
3	2	6.4341	0.47952
3	3	7.0191	0.58496
3	4	7.5834	0.56433
3	5	8.1364	0.55301
3	6	8.723	0.58664
3	7	9.3129	0.58989
3	8	9.8546	0.54166
3	9	10.4278	0.57321
3	10	11.049	0.62121
3	11	11.6069	0.55788
3	12	12.1318	0.52492
3	13	12.7385	0.60671
3	14	13.3116	0.57307
3	15	13.9088	0.59724
3	16	14.4715	0.56271
3	17	15.0343	0.56276
3	18	15.5921	0.55781
3	19	16.168	0.57589
3	20	16.7411	0.57315
3	21	17.2938	0.55264
3	22	17.9175	0.62374
3	23	18.4974	0.57992
3	24	19.0589	0.56142
3	25	19.6532	0.59432
3	26	20.2642	0.61101
3	27	20.8609	0.59673
3	28	21.4513	0.59038
3	29	21.9646	0.51333
3	30	22.5348	0.57016
3	31	23.0575	0.52273
3	32	23.6161	0.5586
3	33	24.1686	0.55243
3	34	24.7572	0.58865
3	35	25.2849	0.52772
3	36	25.8574	0.57244
3	37	26.4068	0.54943
3	38	26.9641	0.55729
3	39	27.5022	0.53815
3	40	28.0908	0.58853
3	41	28.6825	0.59177
3	42	29.2313	0.54874
4	1	6.394	0
4	2	6.9905	0.59646
4	3	7.5717	0.58117
4	4	8.1742	0.6025
4	5	8.6907	0.51655
4	6	9.3564	0.66572
4	7	9.9437	0.58724
4	8	10.4808	0.53709
4	9	11.018	0.53721
4	10	11.6305	0.61256
4	11	12.1978	0.56725
4	12	12.8438	0.646
4	13	13.4167	0.57288
4	14	14.0056	0.58891
4	15	14.5796	0.574
4	16	15.162	0.58247
4	17	15.7587	0.59661
4	18	16.3618	0.60313
4	19	16.9484	0.58663
4	20	17.5641	0.61568
4	21	18.0811	0.51699
4	22	18.6624	0.58132
4	23	19.2264	0.56398
4	24	19.7864	0.56003
4	25	20.3534	0.56694
4	26	20.9361	0.58275
4	27	21.5115	0.57539
4	28	22.0785	0.56696
4	29	22.6639	0.58543
4	30	23.2245	0.56063
4	31	23.807	0.58252
4	32	24.3584	0.55139
4	33	24.9522	0.59376
4	34	25.519	0.56681
4	35	26.0845	0.5655
4	36	26.6451	0.56063
4	37	27.2031	0.55795
4	38	27.7683	0.56525
4	39	28.3565	0.58821
4	40	28.907	0.55049
5	1	6.3783	0
5	2	6.9904	0.61212
5	3	7.5811	0.59064
5	4	8.1775	0.59648
5	5	8.7266	0.54904
5	6	9.3206	0.59406
5	7	9.9316	0.61095
5	8	10.4713	0.5397
5	9	11.0375	0.56621
5	10	11.6021	0.56462
5	11	12.2048	0.60267
5	12	12.7638	0.55904
5	13	13.3294	0.56559
5	14	13.8947	0.56525
5	15	14.4674	0.57269
5	16	15.0703	0.60296
5	17	15.6129	0.54259
5	18	16.2335	0.62056
5	19	16.8489	0.61539
5	20	17.4371	0.58826
5	21	18.0043	0.56721
5	22	18.5947	0.59033
5	23	19.1565	0.56181
5	24	19.7977	0.6412
5	25	20.3508	0.55314
5	26	20.9767	0.62593
5	27	21.561	0.58429
5	28	22.0931	0.53212
5	29	22.6926	0.59949
5	30	23.2795	0.58685
5	31	23.8614	0.58188
5	32	24.4347	0.57333
5	33	24.9912	0.55649
5	34	25.5643	0.57308
5	35	26.1325	0.56828
5	36	26.7016	0.56901
5	37	27.2611	0.55958
5	38	27.8255	0.5644
5	39	28.3991	0.57356
5	40	28.9952	0.59606
