Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	6.431	0
1	2	6.9903	0.55921
1	3	7.5782	0.58792
1	4	8.1716	0.59342
1	5	8.7587	0.58708
1	6	9.3665	0.6078
1	7	9.9509	0.58441
1	8	10.5275	0.57656
1	9	11.1308	0.60336
1	10	11.7173	0.58644
1	11	12.292	0.57475
1	12	12.8251	0.53307
1	13	13.4711	0.64601
1	14	14.0519	0.58078
1	15	14.631	0.57913
1	16	15.2225	0.59144
1	17	15.822	0.59951
1	18	16.423	0.60105
1	19	17.0042	0.58117
1	20	17.5993	0.59509
1	21	18.2357	0.63641
1	22	18.8556	0.6199
1	23	19.5471	0.69152
1	24	20.1711	0.62402
1	25	20.7856	0.6145
1	26	21.385	0.5994
1	27	21.9749	0.58991
1	28	22.6033	0.62835
1	29	23.2374	0.63412
1	30	23.8902	0.65282
1	31	24.5171	0.62686
1	32	25.1391	0.62203
1	33	25.7777	0.63857
1	34	26.4029	0.62522
1	35	27.0125	0.60958
1	36	27.6818	0.66929
1	37	28.3526	0.67085
1	38	28.9718	0.61922
2	1	6.4331	0
2	2	7.0202	0.58708
2	3	7.59	0.56981
2	4	8.1778	0.58783
2	5	8.7579	0.58007
2	6	9.3425	0.58466
2	7	9.9367	0.59417
2	8	10.5349	0.59815
2	9	11.1355	0.60063
2	10	11.7154	0.57996
2	11	12.2643	0.54885
2	12	12.8517	0.58743
2	13	13.4475	0.59574
2	14	14.0214	0.5739
2	15	14.5935	0.57211
2	16	15.2292	0.63576
2	17	15.8575	0.62824
2	18	16.4294	0.57192
2	19	17.0194	0.58997
2	20	17.617	0.59764
2	21	18.2783	0.66125
2	22	18.9393	0.66101
2	23	19.5519	0.61263
2	24	20.1322	0.58024
2	25	20.7664	0.63422
2	26	21.3627	0.59631
2	27	22.0301	0.66741
2	28	22.6041	0.57402
2	29	23.217	0.61286
2	30	23.8679	0.65093
2	31	24.5126	0.64465
2	32	25.1734	0.66081
2	33	25.7955	0.62209
2	34	26.422	0.62654
2	35	27.0639	0.64194
2	36	27.7356	0.67166
2	37	28.3984	0.66276
2	38	29.0443	0.64591
3	1	6.4172	0
3	2	7.0204	0.60318
3	3	7.6045	0.58406
3	4	8.1866	0.58212
3	5	8.7938	0.60717
3	6	9.3601	0.56639
3	7	9.9523	0.59221
3	8	10.5186	0.56623
3	9	11.1334	0.61481
3	10	11.7346	0.60125
3	11	12.3085	0.57386
3	12	12.8968	0.58825
3	13	13.5034	0.6067
3	14	14.0959	0.59248
3	15	14.6784	0.58252
3	16	15.2405	0.56209
3	17	15.8051	0.56452
3	18	16.457	0.65196
3	19	17.0225	0.56551
3	20	17.5916	0.56904
3	21	18.2806	0.68907
3	22	18.9081	0.62746
3	23	19.5657	0.65757
3	24	20.1993	0.63368
3	25	20.8438	0.64444
3	26	21.4637	0.61996
3	27	22.0715	0.60774
3	28	22.6978	0.62633
3	29	23.3479	0.65008
3	30	23.9878	0.63996
3	31	24.6193	0.63145
3	32	25.2552	0.63591
3	33	25.8513	0.59611
3	34	26.5624	0.71107
3	35	27.2051	0.64275
3	36	27.8546	0.64947
3	37	28.5069	0.65227
3	38	29.1792	0.67234
4	1	6.4241	0
4	2	7.0227	0.59855
4	3	7.6186	0.59592
4	4	8.1844	0.56574
4	5	8.7718	0.58745
4	6	9.3399	0.5681
4	7	9.9472	0.60725
4	8	10.5442	0.59707
4	9	11.0917	0.54746
4	10	11.6678	0.57607
4	11	12.2673	0.59954
4	12	12.8414	0.5741
4	13	13.4566	0.6152
4	14	14.0597	0.60312
4	15	14.6377	0.57794
4	16	15.2309	0.59321
4	17	15.8248	0.59396
4	18	16.447	0.62216
4	19	17.01	0.56297
4	20	17.6153	0.60539
4	21	18.2675	0.65217
4	22	18.8779	0.61035
4	23	19.446	0.56811
4	24	20.0208	0.57488
4	25	20.6584	0.63757
4	26	21.2498	0.59138
4	27	21.8542	0.60438
4	28	22.4301	0.5759
4	29	23.071	0.64091
4	30	23.668	0.59705
4	31	24.3115	0.64349
4	32	24.9202	0.60865
4	33	25.5581	0.63789
4	34	26.227	0.66893
4	35	26.7882	0.56119
4	36	27.4228	0.63457
4	37	28.0967	0.67398
4	38	28.7086	0.61185
4	39	29.3269	0.61832
5	1	6.4238	0
5	2	7.0294	0.60551
5	3	7.6269	0.59757
5	4	8.1987	0.57177
5	5	8.7846	0.58592
5	6	9.3418	0.55714
5	7	9.9274	0.58561
5	8	10.5155	0.58812
5	9	11.1113	0.59578
5	10	11.7149	0.60366
5	11	12.2719	0.55699
5	12	12.8636	0.59171
5	13	13.4465	0.58287
5	14	14.0295	0.58304
5	15	14.6493	0.61976
5	16	15.2252	0.57593
5	17	15.8064	0.58121
5	18	16.4241	0.61766
5	19	17.0094	0.58538
5	20	17.5669	0.55746
5	21	18.2579	0.69102
5	22	18.8941	0.63612
5	23	19.5575	0.66344
5	24	20.1774	0.61994
5	25	20.8413	0.66384
5	26	21.4468	0.60551
5	27	22.108	0.66124
5	28	22.6906	0.58256
5	29	23.3714	0.68085
5	30	24.0255	0.65407
5	31	24.6638	0.63828
5	32	25.3429	0.67908
5	33	25.9458	0.60297
5	34	26.5398	0.594
5	35	27.1967	0.65683
5	36	27.8087	0.61199
5	37	28.4219	0.61325
5	38	29.0566	0.6347
