Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	5.9493	0
1	2	6.4093	0.46003
1	3	6.998	0.58869
1	4	7.5899	0.5919
1	5	8.1928	0.60285
1	6	8.7739	0.58116
1	7	9.3339	0.55994
1	8	9.9768	0.64294
1	9	10.6012	0.62442
1	10	11.1469	0.54572
1	11	11.7637	0.61677
1	12	12.3458	0.58215
1	13	12.9164	0.57053
1	14	13.506	0.58964
1	15	14.1015	0.59548
1	16	14.6788	0.57726
1	17	15.2421	0.56332
1	18	15.8489	0.60686
1	19	16.4369	0.58793
1	20	17.0554	0.61855
1	21	17.609	0.55361
1	22	18.2133	0.60425
1	23	18.8082	0.59496
1	24	19.3778	0.56954
1	25	19.9547	0.57695
1	26	20.5455	0.59076
1	27	21.1304	0.58487
1	28	21.7264	0.59605
1	29	22.2466	0.52021
1	30	22.8282	0.58163
1	31	23.4025	0.57424
1	32	23.9841	0.5816
1	33	24.5514	0.56734
1	34	25.1187	0.56727
1	35	25.6659	0.54725
1	36	26.2716	0.60561
1	37	26.8321	0.56055
1	38	27.3967	0.56462
1	39	27.9658	0.56909
1	40	28.6021	0.63627
1	41	29.1971	0.59501
2	1	5.9476	0
2	2	6.438	0.49037
2	3	7.0238	0.58578
2	4	7.588	0.56423
2	5	8.1732	0.58526
2	6	8.7957	0.62244
2	7	9.3745	0.57877
2	8	9.9684	0.59391
2	9	10.6057	0.63737
2	10	11.166	0.56026
2	11	11.7762	0.61019
2	12	12.3534	0.57719
2	13	12.9416	0.58825
2	14	13.5214	0.57978
2	15	14.096	0.57461
2	16	14.692	0.59598
2	17	15.2876	0.59562
2	18	15.8501	0.56246
2	19	16.444	0.59396
2	20	17.017	0.57301
2	21	17.624	0.60691
2	22	18.268	0.64405
2	23	18.838	0.57001
2	24	19.4031	0.56511
2	25	19.9602	0.5571
2	26	20.5108	0.55062
2	27	21.1001	0.58921
2	28	21.683	0.58293
2	29	22.273	0.58999
2	30	22.8388	0.56587
2	31	23.4144	0.57554
2	32	23.9844	0.57007
2	33	24.5946	0.61017
2	34	25.152	0.55737
2	35	25.7257	0.57373
2	36	26.2893	0.56354
2	37	26.9023	0.61302
2	38	27.4965	0.59425
2	39	28.0527	0.5562
2	40	28.629	0.57629
2	41	29.1962	0.5672
3	1	5.9462	0
3	2	6.4823	0.53614
3	3	7.0167	0.53442
3	4	7.5717	0.55499
3	5	8.1932	0.62145
3	6	8.7784	0.58527
3	7	9.3495	0.57105
3	8	9.9847	0.63517
3	9	10.5506	0.5659
3	10	11.1283	0.57772
3	11	11.7314	0.60315
3	12	12.3171	0.58566
3	13	12.9116	0.59446
3	14	13.5005	0.58896
3	15	14.0715	0.57099
3	16	14.673	0.60155
3	17	15.2689	0.59588
3	18	15.8479	0.57902
3	19	16.4514	0.60343
3	20	17.0352	0.58379
3	21	17.6116	0.57638
3	22	18.2864	0.67484
3	23	18.8537	0.56731
3	24	19.454	0.60025
3	25	20.068	0.61409
3	26	20.6778	0.60973
3	27	21.2889	0.61111
3	28	21.9126	0.62372
3	29	22.5046	0.59194
3	30	23.1445	0.63999
3	31	23.7737	0.62914
3	32	24.3276	0.55389
3	33	24.9188	0.59125
3	34	25.5229	0.60404
3	35	26.1004	0.57755
3	36	26.6896	0.58921
3	37	27.3174	0.62774
3	38	27.903	0.58561
3	39	28.5212	0.61828
3	40	29.1169	0.59561
4	1	5.955	0
4	2	6.4519	0.49684
4	3	7.0314	0.57951
4	4	7.6025	0.57115
4	5	8.2012	0.59867
4	6	8.8079	0.60665
4	7	9.3645	0.5566
4	8	9.9657	0.60122
4	9	10.5525	0.58681
4	10	11.1682	0.61568
4	11	11.7741	0.60594
4	12	12.3251	0.55099
4	13	12.914	0.58892
4	14	13.4893	0.57525
4	15	14.1776	0.68837
4	16	14.6915	0.51386
4	17	15.313	0.62152
4	18	15.8879	0.57489
4	19	16.4174	0.5295
4	20	17.0469	0.62946
4	21	17.6024	0.5555
4	22	18.2613	0.65892
4	23	18.8408	0.57955
4	24	19.4192	0.57838
4	25	20.019	0.5998
4	26	20.646	0.62694
4	27	21.3156	0.66964
4	28	21.9059	0.59028
4	29	22.5021	0.59627
4	30	23.0699	0.56775
4	31	23.7093	0.63939
4	32	24.257	0.5477
4	33	24.8568	0.59977
4	34	25.4314	0.57466
4	35	26.0019	0.57046
4	36	26.6036	0.60171
4	37	27.1792	0.57564
4	38	27.7806	0.60135
4	39	28.3305	0.54997
4	40	28.9305	0.59995
5	1	5.9512	0
5	2	6.4987	0.54746
5	3	7.0359	0.53717
5	4	7.6062	0.5703
5	5	8.2124	0.60627
