Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	6.3725	0
1	2	6.9836	0.61117
1	3	7.5874	0.60375
1	4	8.1606	0.57326
1	5	8.7742	0.61352
1	6	9.3871	0.61294
1	7	9.9469	0.55977
1	8	10.5169	0.57008
1	9	11.1154	0.59844
1	10	11.721	0.60559
1	11	12.2728	0.55185
1	12	12.8751	0.60227
1	13	13.4702	0.59511
1	14	14.0785	0.60828
1	15	14.6605	0.58204
1	16	15.2627	0.6022
1	17	15.8408	0.57811
1	18	16.4089	0.56808
1	19	16.9969	0.58797
1	20	17.6017	0.60483
1	21	18.2768	0.67509
1	22	18.8787	0.60195
1	23	19.4658	0.58709
1	24	20.0857	0.61986
1	25	20.7115	0.62581
1	26	21.3529	0.6414
1	27	21.9738	0.62092
1	28	22.6698	0.69597
1	29	23.292	0.62224
1	30	23.9181	0.62611
1	31	24.5587	0.64058
1	32	25.1509	0.59221
1	33	25.7844	0.63342
1	34	26.4648	0.68044
1	35	27.125	0.66025
1	36	27.8114	0.68631
1	37	28.4502	0.63888
1	38	29.0964	0.64616
2	1	6.3777	0
2	2	6.9976	0.61988
2	3	7.584	0.58639
2	4	8.1737	0.58965
2	5	8.7814	0.60779
2	6	9.3753	0.59385
2	7	10.0098	0.63451
2	8	10.5695	0.55967
2	9	11.163	0.59353
2	10	11.7692	0.60622
2	11	12.3404	0.57114
2	12	12.9203	0.57991
2	13	13.4895	0.56925
2	14	14.104	0.61452
2	15	14.6632	0.55913
2	16	15.2594	0.59623
2	17	15.8484	0.589
2	18	16.3939	0.54549
2	19	17.0471	0.65322
2	20	17.6002	0.55306
2	21	18.2848	0.68461
2	22	18.9055	0.62078
2	23	19.4784	0.57282
2	24	20.1297	0.65134
2	25	20.7583	0.62863
2	26	21.3733	0.61496
2	27	21.9733	0.59995
2	28	22.5892	0.61598
2	29	23.1753	0.58604
2	30	23.8423	0.66701
2	31	24.5083	0.66603
2	32	25.1357	0.62741
2	33	25.8051	0.66934
2	34	26.4424	0.63735
2	35	27.0411	0.59873
2	36	27.6761	0.635
2	37	28.3167	0.64058
2	38	29.0354	0.71868
3	1	6.4029	0
3	2	7.0145	0.61167
3	3	7.6063	0.59179
3	4	8.1985	0.59214
3	5	8.7863	0.58781
3	6	9.3621	0.57585
3	7	9.9718	0.60971
3	8	10.5676	0.5958
3	9	11.161	0.59334
3	10	11.7282	0.56724
3	11	12.2934	0.56515
3	12	12.8658	0.57245
3	13	13.4732	0.60739
3	14	14.0945	0.62125
3	15	14.6278	0.53331
3	16	15.2424	0.61467
3	17	15.8065	0.56411
3	18	16.4018	0.59527
3	19	17.0245	0.62272
3	20	17.5899	0.56535
3	21	18.221	0.63111
3	22	18.8425	0.62146
3	23	19.5037	0.66127
3	24	20.1146	0.61084
3	25	20.7167	0.60215
3	26	21.3499	0.63318
3	27	21.9988	0.64896
3	28	22.6369	0.63806
3	29	23.2617	0.62482
3	30	23.9335	0.67175
3	31	24.5884	0.65489
3	32	25.2542	0.66584
3	33	25.9106	0.65638
3	34	26.5612	0.65066
3	35	27.2013	0.64006
3	36	27.8743	0.67296
3	37	28.5049	0.63067
3	38	29.1259	0.62095
4	1	5.9512	0
4	2	6.4213	0.4701
4	3	7.0009	0.57962
4	4	7.5889	0.58796
4	5	8.1745	0.58563
4	6	8.7797	0.60523
4	7	9.3551	0.57538
4	8	9.9597	0.60457
4	9	10.5411	0.58145
4	10	11.145	0.6039
4	11	11.7459	0.60089
4	12	12.3084	0.56244
4	13	12.8943	0.58596
4	14	13.5124	0.61803
4	15	14.1393	0.62699
4	16	14.7107	0.57139
4	17	15.2722	0.56146
4	18	15.8754	0.60316
4	19	16.452	0.57662
4	20	17.0514	0.59941
4	21	17.65	0.59862
4	22	18.3138	0.66376
4	23	18.9704	0.65666
4	24	19.6137	0.64325
4	25	20.2182	0.60457
4	26	20.8938	0.67551
4	27	21.5806	0.6868
4	28	22.2507	0.67019
4	29	22.8646	0.61389
4	30	23.4711	0.60643
4	31	24.0806	0.60954
4	32	24.7247	0.64411
4	33	25.3833	0.65858
4	34	26.0051	0.62183
4	35	26.6399	0.63477
4	36	27.3161	0.67621
4	37	27.9825	0.66637
4	38	28.6706	0.68807
4	39	29.3662	0.6957
5	1	6.4552	0
5	2	7.0384	0.58327
5	3	7.6165	0.57808
5	4	8.2201	0.60353
5	5	8.7968	0.57675
5	6	9.4042	0.60739
5	7	9.9708	0.56657
5	8	10.5645	0.5937
5	9	11.1678	0.60331
5	10	11.7541	0.58637
5	11	12.3489	0.59475
5	12	12.9151	0.56625
5	13	13.5297	0.61458
5	14	14.0953	0.56557
5	15	14.6629	0.56762
5	16	15.2592	0.59632
5	17	15.8514	0.59214
5	18	16.4095	0.55809
5	19	17.0295	0.62004
5	20	17.599	0.5695
5	21	18.2845	0.68552
5	22	18.9154	0.63087
5	23	19.5643	0.64887
5	24	20.207	0.64275
5	25	20.8776	0.67061
5	26	21.5235	0.64588
5	27	22.1639	0.64042
5	28	22.8185	0.6546
5	29	23.4698	0.65128
5	30	24.1043	0.63445
5	31	24.7413	0.63698
5	32	25.3885	0.64727
5	33	26.0318	0.64325
5	34	26.6508	0.619
5	35	27.3468	0.69602
5	36	27.9861	0.63928
5	37	28.6166	0.63053
5	38	29.2372	0.62062
